No,video_title,channel,publish time,link,description
1,Onion Man | 在1度的寒冷山上露營 (中)  酷寒地獄篇 | 真實故事大長篇,Onion Man,2021-02-21T13:00:16Z,https://www.youtube.com/watch?v=eTNbsJGAOIU,{'做甚麼事都很冷  快掛了\n\n【訂閱】及觀看洋蔥更多影片: https://goo.gl/ijP3Eb\n\n工作合作：service@weido.biz\nOnion Man 百萬追蹤粉絲團:goo.gl/Z5CSvw\n\n最新阿文貼圖:https://reurl.cc/GxYjA\n\n第一代阿文line貼圖:https://reurl.cc/Wroxx\n\n洋蔥私生活IG:https://www.instagram.com/onionman__/\n\n\n運動漫畫裡的中二老梗劇情\n►第一集:https://youtu.be/cMoV1rPH35k\n►第二集:https://youtu.be/iW7LM00lny0\n►第三集:https://youtu.be/2G5wu61uCM0\n►第四集:https://youtu.be/-rP1abYv8n4\n\nOnion Man 關鍵字:\n中二 肥宅 單身漢 單身 魯蛇 屌絲 肥宅'}
2,關於「統神端火鍋」，十個你不知道的冷知識 | 超邊緣冷知識 | 啾啾鞋,啾啾鞋,2021-02-19T14:56:08Z,https://www.youtube.com/watch?v=zpmoq-6pLmE,{'《冷知識背後的熱思考》\n博客來：https://pse.is/39sr5q \n城邦讀書花園：https://pse.is/3b9pfh\n金石堂網路書店：https://pse.is/3aely7\n誠品網路書店： https://eslite.me/3b4qsq\n\n▼啾啾鞋的人氣影片▼\n《32街的偽鈔天才》偽鈔大師的故事\nhttps://youtu.be/9lKe9irDIDw\nChrome小恐龍的秘密!\nhttps://youtu.be/besQJCZ20j4\n在路上撿到隨身碟，你會...?\nhttps://bit.ly/2ytI7E5\n俄羅斯方塊也有世界冠軍!?\nhttps://youtu.be/Dh9VaezvVnU\nYouTube的自動播放功能，播到最後會看到什麼呢?\nhttps://youtu.be/HMxT-MCRmh4\n牛排的血水不是血!\nhttps://youtu.be/-7GjvnJ2PO0\n\n背景音樂Background Music:\nepidemicsound.com\n\n粉絲專頁:https://www.facebook.com/chuchushoeTW\nInstagram:http://instagram.com/chuchushoetw\nTwitter:https://twitter.com/chuchushoeTW\nGoogle+:https://plus.google.com/+chuchushoeTW'}
3,《青春有你3》魏宏宇唱《戒菸》聽呆眾人 李榮浩反應超好笑｜愛奇藝,iQIYI TW,2021-02-20T12:10:25Z,https://www.youtube.com/watch?v=WvqAerRxhJo,{'《#青春有你3》Youth With You 3  現正熱播\n\n《青春有你3》模式全新升級，青春製作人代表和導師團將帶領百餘少年“用自己的路子，跟世界過招”，開啟全新拼搏之旅。每週四、六晚上八點全網首播！\n\n青春PD #李宇春\n音樂導師 #李榮浩\n舞蹈老師 #LISA\n說唱導師 #潘瑋柏\n青春助教 #THE9 #虞書欣\n\n愛奇藝自製綜藝《 #青春有你3 》▶ https://lihi1.com/SovP4\n\n愛奇藝，讓你欲罷不能👇\n🔸 APP商店：https://i.qy.net/114cc3-03\n🔹Facebook： https://lihi1.com/JpXcj\n🔹Instagram：  https://lihi1.com/tSETV\n🔹TikTok抖音：https://lihi1.com/SuzTx'}
4,比米其林三星頤宮還貴但是難吃一百倍？竟吃到有如乾柴雞胸肉口感的地獄級燒鴨！【美食公道伯】,Toyz,2021-02-21T09:30:01Z,https://www.youtube.com/watch?v=45uTKlM5oT8,{'拍攝日期：2021/01/15\n\n★  追蹤我的IG：https://www.instagram.com/toyzlol\n★  合作邀約請來信： toyzpr@gmail.com\n\n▼想關注我更多看看以下內容▼\nYouTube直播時間 - 每周二四六日晚間都可能會進行直播\nFacebook - https://www.facebook.com/Toyzlau\n\n#toyz #美食公道伯 #米其林地雷'}
5,OL美女誘惑！偷看就爆槌！誘惑之下YT們考試會相差幾分呢？反應大爆笑【烏鴉DoKa】【流言終結】Ft.＠酷炫老師＠小哥哥艾里＠大麻煩＠斜槓宅男,烏鴉DoKa TV,2021-02-21T10:21:02Z,https://www.youtube.com/watch?v=8RbrRIJWVFE,{'我只能說 大家都太敢了\n我都意外他們竟然忍不住w\n\n\n【訂閱網美們的IG】\n婕兒→  y._u._i\npeggy→ cpy7765\nkimi→ kimmy.1126\n夢夢→ pinknee520\n派派→ kimi_013013\n小佳→ eunicechia0128\n小佩→ lovekiddy1219\n橫綱凱咪→ aqqcami4\n\n【追蹤我的IG】：https://www.instagram.com/uye_doka/\n\n【追蹤我的粉專】：https://www.facebook.com/dokafun/\n\n【我的信箱】：higherflydoka@gmail.com'}
6,《多情大爆爆》多情城市 EP369 渣男女   雙雙大報應,民視戲劇館 Formosa TV Dramas,2021-02-24T09:30:01Z,https://www.youtube.com/watch?v=OEfYpsgUUcc,{'🤩 民視優質戲劇搶先看 🤩\n🔔免費訂閱【民視戲劇館】👉🏻 https://reurl.cc/NE1O9\n\u200b\n🎁 更多精彩官方影片，請關注我們 🎁\n四季線上影視FB👉🏻 https://goo.gl/xzMmw3\n民視娛樂FB👉🏻 https://goo.gl/EFflxq\n\u200b\n📺 四季線上影視4gTV 免費戲劇新上架 📺\n四季線上影視4gTV：https://4gtv.tv\nAPP下載：https://reurl.cc/zyW56y'}
7,傳說中的麥卡貝6人，現在大家都怎麼了。賺寶寶尾牙篇/婕翎ft.@Six Wang  @Niaws - 鳥屎  @Sandykaka@魯蛋的頻道 @大魚,解婕翎,2021-02-23T10:00:08Z,https://www.youtube.com/watch?v=BS_U4udkRJs,{'大家最期待的一年一度的賺寶寶尾牙來了!!\n這六人已經認識七八年了，大家心境的轉變到底如何呢?\n最真誠的對話都在這一集，獻給懷念六人的觀眾們。\n謝謝你們，讓我們6人相聚再一起。\n我們真的很愛彼此...\n\n交換禮物請至Sandy頻道：https://youtu.be/6O1sVKme0bI\n\n✨頻道會員專屬✨【獨家】賺寶寶好聲音上線啦!!正片中沒看到的好聲音橋段都在這\nhttps://youtu.be/GwWPTzAjK74\n========\n更多好笑87的幕後花絮、未公開影片，都在會員專屬區，快加入↓\nhttps://www.youtube.com/channel/UCMy0L5Y-h0-s8t4XZs49gXw/join\n除了會員專屬影片外，不定期開會員專屬直播哦！\n========\n\n／本周新片／\n\n✨把婕翎手機偷走，意外發現瀏覽器搜尋都是性感內X! 真的母湯會黃標\nhttps://youtu.be/V5E7iFK-mWs\n\n✨婕翎年薪多少?!真的賺很大?一次拍給你看\nhttps://youtu.be/0NehMo0zm2c\n\n／賺寶寶集團系列／\n\n💰賺寶寶黃金六人組，不爽直接說出來啦。\nhttps://youtu.be/7AVN06wewbI\n\n💰私密QA回答！一次曝光！一個月賺多少？有沒有一夜情？！\nhttps://youtu.be/04EqRvC-_r0\n\n💰賺寶寶旺年晚會，各種尷尬表演。\nhttps://youtu.be/jwXQqvLP0XQ\n\n💰【06小隊】2020賺寶寶集團 | 全員COS大挑戰\nhttps://youtu.be/E1Mwgkq1c08\n\n／本月前5名熱門影片，快來看！！／\n\n🔥妹妹的D槽真的母湯，衣櫃的衣服都會露南半球!到底 ???(ft.子玄)\nhttps://youtu.be/Ai2lgcmxLQU\n\n🔥員工吃什麼，火鍋就是要吃傳統的才對味?(ft.子玄)\nhttps://youtu.be/kYikE41uYeo\n\n🔥極致性感！男人最愛黑絲大放送！腿控必看！！(ft.可凡)\nhttps://youtu.be/hYCW9HBMuho\n\n🔥第一次在車上睡覺，體感-0度戶外洗澡-女子宿舍！！(ft.Sandy)\nhttps://youtu.be/IbSoCBOI06A\n\n🔥婕翎年薪多少?!真的賺很大?一次拍給你看\nhttps://youtu.be/0NehMo0zm2c\n\n🔥陪我大掃除！過年大裝修，百萬裝潢省起來\nhttps://youtu.be/b500QPKXenY\n\n========\n\n合作歡迎來信👍\ndollshin.fans@gmail.com'}
8,【台灣啟示錄 全集】20210221 最狠強盜集團一年奪七命 刑警痛罵：披著人皮的畜牲｜洪培翔 @台灣啟示錄,台灣啟示錄,2021-02-22T02:33:23Z,https://www.youtube.com/watch?v=aPpXe2oOXQw,{'00:08 最狠強盜集團一年奪七命 刑警痛罵：披著人皮的畜牲\n\n在1990年代，有一個強盜殺人集團，他們會侵入民宅強盜搶劫，他們會隨機擄人勒贖，在短短一年內，殺害了七條人命，搞得社會人心惶惶。\n\n這個小男孩在夢裡跟巡官說，他好冷，他找不到回家的路，可以幫幫他嗎？這個巡官醒過來之後，仔細回想了最近經手過的案子，但是都沒有跟小孩子相關的案件，但是他沒放棄，正好分局借提了吳向偉，隨口問他一句，你是不是在彰化殺害了一個男孩，沒有想到，吳向偉當場嚇得臉色發青，真的是他殺的嗎？\n\n就是因為夏小平的職業，讓他相信，如果在殺人之後，對被害者做一些事情，就不會被冤魂糾纏，他的同夥們照做了，但還是逃不過良心的譴責，每天晚上都被鬼壓身，直到落網才解脫。\n\n夏小平這個強盜集團，等於已經是殺紅了眼，想錢想瘋了，與其到處綁人，還不一定要得到錢，不如鎖定一個大的目標，就幹一票大的，是誰被它們鎖定了呢？\n\n夏小平是在拖延死刑的執行時間嗎？不過就算他真的還有案子要交代，但是這種條件交換，檢警怎麼可能答應他？\n\n請鎖定每周日晚間20:00分，東森新聞台--51頻道，台灣啟示錄！\n\n訂閱《台灣啟示錄Youtube官方頻道》https://bit.ly/2VsuEVN\n看更多最新影片》https://bit.ly/39CWtmU\n\n#東森#台灣啟示錄#啟示錄#洪培翔#強盜#殺人#集團#搶劫#民宅#擄人#勒贖#巡官#男孩#吳向偉#案件#彰化#夏小平#職業#被害者#冤魂#糾纏#良心#同夥#死刑#拖延#執行#條件#檢警'}
9,BTS Performs “Telepathy” | MTV Unplugged Presents: BTS,MTV,2021-02-24T02:04:50Z,https://www.youtube.com/watch?v=OC29BN3R8dM,"{'BTS Performs “Telepathy” on MTV Unplugged Presents: BTS. \n\n#MTVUnplugged #BTS #BTSonMTV #MTV\n\nSubscribe to MTV: http://goo.gl/NThuhC\r\n\r\nMore from MTV:\r\nOfficial MTV Website: http://www.mtv.com/\r\nLike MTV: https://www.facebook.com/MTV\r\nFollow MTV: https://twitter.com/MTV\r\nMTV Instagram: http://instagram.com/mtv\r\n\r\n#MTV is your destination for the hit series WNO, VMA, Jersey Shore, The Challenge, MTV Floribama Shore, Teen Mom and much more!'}"
10,SHINee 샤이니 'Don't Call Me' MV,SMTOWN,2021-02-22T09:00:12Z,https://www.youtube.com/watch?v=p6OoY6xneI0,"{'SHINee\'s 7th album ""Don\'t Call Me"" is out!\nListen and download on your favorite platform: http://smarturl.it/DontCallMe_SHINee\n\n[Tracklist]\n01 Don\'t Call Me\n02 Heart Attack\n03 Marry You\n04 CØDE\n05 I Really Want You\n06 Kiss Kiss\n07 Body Rhythm\n08 Attention\n09 빈칸 (Kind)\n\nSHINee Official\nhttps://www.youtube.com/SHINee\u200b\nhttps://www.facebook.com/shinee\u200b\nhttps://www.instagram.com/shinee\u200b\nhttps://www.vlive.tv/channel/96DD0B\u200b\nhttps://twitter.com/SHINee\n\n#SHINee\u200b\u200b\u200b\u200b\u200b\u200b #Dont_Call_Me\u200b\u200b\u200b\u200b\u200b\u200b #샤이니\u200b\u200b\u200b\u200b\u200b\n#ONEW\u200b\u200b\u200b\u200b\u200b\u200b #MINHO\u200b\u200b\u200b\u200b\u200b\u200b #KEY\u200b\u200b\u200b\u200b\u200b\u200b #TAEMIN\u200b\nSHINee 샤이니 \'Don\'t Call Me\' MV ℗ SM Entertainment'}"
